Geneid	L11B	L12B	L13B	L14B	L15B	L1A	L2A	L3A	L4A	L5A	L1N	L2N	L3N	L4N
Btg2	39	52	40	64	54	110	58	67	152	196	107	120	96	42
Chit1	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Chi3l1	14	14	20	22	23	81	41	34	126	102	30	29	25	10
Mybph	0	0	0	0	0	0	1	0	0	0	2	0	0	0
Adora1	0	5	2	12	4	1	0	1	12	9	1	7	1	3
Myog	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppfia4	0	1	0	1	7	2	0	4	8	3	2	0	4	3
LOC110341495	1	5	2	10	7	1	2	8	18	16	3	3	1	0
Tmem183a	26	31	34	30	42	74	39	41	68	76	46	70	58	31
LOC101824876	0	0	0	0	1	0	1	0	2	1	0	0	1	0
LOC101824618	56	60	57	65	68	85	54	42	95	86	76	103	90	50
Adipor1	64	84	69	107	120	157	72	74	184	208	130	158	127	51
Klhl12	18	22	18	49	36	40	11	43	90	64	40	39	42	16
Rabif	5	7	3	8	10	4	3	5	16	15	4	15	10	1
LOC101827148	4	8	2	15	10	0	2	11	15	10	2	2	2	0
Kdm5b	16	28	25	37	26	46	14	37	63	62	44	58	63	34
LOC101825833	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Syt2	4	9	2	12	27	2	2	7	34	18	3	4	3	3
Ppp1r12b	34	75	16	137	114	18	13	95	202	170	29	46	45	21
Ube2t	6	7	5	7	8	8	2	5	12	21	5	12	5	2
Lgr6	10	26	8	26	29	9	4	18	68	35	5	15	8	4
LOC110341496	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101827410	0	0	0	0	0	0	1	3	0	2	0	0	0	0
Ptpn7	6	12	4	11	6	6	1	7	21	14	2	9	7	3
Arl8a	20	38	32	42	55	58	32	34	87	92	46	69	53	31
Gpr37l1	0	0	0	1	3	0	0	0	2	3	1	0	0	1
Rnpep	51	79	78	76	84	203	104	108	252	207	70	131	102	46
Elf3	7	2	3	5	7	18	2	9	10	7	7	7	4	2
Timm17a	26	40	27	48	45	54	25	35	77	74	31	43	56	22
LOC101829615	189	283	223	297	319	544	292	266	463	535	388	549	561	292
Lmod1	10	15	18	19	20	28	13	12	24	19	16	18	15	10
Shisa4	5	9	5	8	9	13	4	4	14	9	7	9	7	3
Ipo9	20	21	33	26	22	45	18	12	48	53	29	43	40	15
Nav1	35	96	34	111	88	52	23	76	177	160	48	68	55	34
LOC110341498	0	0	1	1	1	2	0	2	2	2	0	1	0	0
LOC110341497	0	1	0	0	0	1	0	5	1	2	0	0	0	0
Csrp1	271	342	316	352	421	532	255	304	496	532	374	537	460	247
Phlda3	5	8	10	9	13	44	14	18	23	26	8	26	10	2
Tnni1	5	5	2	11	10	1	2	13	22	18	3	6	6	0
Lad1	0	0	2	2	3	7	5	2	6	9	4	3	3	2
Tnnt2	8	16	13	13	12	19	11	15	33	22	41	30	15	13
Pkp1	0	2	0	1	1	0	0	1	7	2	0	1	1	1
LOC110341499	0	0	1	1	2	0	0	1	3	3	0	0	0	0
LOC101827927	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem9	2	4	4	2	7	8	6	2	10	13	9	11	11	1
Ascl5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacna1s	8	9	2	12	14	2	4	9	26	18	7	2	3	1
Kif21b	3	9	5	7	12	2	0	3	20	15	4	11	12	3
LOC101828187	0	3	0	5	8	2	1	6	8	18	2	1	1	0
CUNH1orf106	5	12	1	14	14	6	0	7	19	10	3	7	0	1
Gpr25	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Camsap2	41	54	37	69	58	86	36	59	95	102	88	105	117	53
Ddx59	11	14	11	34	16	17	12	21	48	39	12	15	15	9
Kif14	17	41	6	57	40	12	9	42	106	83	9	20	12	6
LOC106021409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341500	6	21	6	44	37	4	10	35	68	54	8	11	6	6
Znf281	18	22	30	32	33	45	21	31	54	56	21	56	38	24
LOC106021408	15	26	14	39	17	18	5	31	48	39	13	17	18	14
LOC110341501	6	8	2	26	13	5	6	9	25	20	7	4	5	2
LOC101838323	2	0	0	1	1	0	1	1	0	0	0	0	0	0
Nr5a2	16	44	13	49	57	15	3	40	119	76	22	22	14	5
LOC101828715	6	17	5	26	20	3	3	30	47	31	3	8	5	4
LOC106021414	1	2	1	3	3	0	1	2	6	1	1	0	0	0
LOC110341502	5	12	7	22	13	6	4	6	31	22	29	17	22	7
Ptprc	76	103	130	158	112	282	146	132	276	288	198	221	224	110
Atp6v1g3	3	6	8	16	11	3	3	9	11	11	0	2	3	1
LOC110341492	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Nek7	13	22	13	31	27	15	7	23	43	34	15	20	19	5
LOC110341503	2	1	5	10	9	3	3	7	21	13	2	3	2	1
Lhx9	1	2	0	0	1	0	0	0	0	1	1	0	1	0
LOC110341504	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CUNH1orf53	35	37	28	40	49	80	51	38	96	79	57	73	52	35
LOC106021412	0	0	0	3	1	1	1	1	2	2	2	3	1	1
Dennd1b	5	10	5	14	13	15	7	7	21	19	6	10	19	3
LOC101840185	5	5	7	3	9	9	5	7	9	13	12	10	8	11
Crb1	17	14	10	36	36	5	5	40	59	46	11	9	5	4
LOC101830071	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Zbtb41	8	14	11	28	28	24	5	15	32	32	14	30	25	9
Aspm	2	1	1	6	2	2	4	2	7	11	0	2	9	0
F13b	0	0	1	2	2	0	0	3	2	0	0	0	0	0
LOC101830867	1	1	0	5	7	0	0	1	1	3	0	0	0	1
LOC110341507	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC110341508	0	2	0	0	0	0	0	2	4	3	1	0	0	0
LOC101831136	1	2	0	1	0	0	0	0	1	0	0	1	0	0
Cfh	20	50	35	59	68	42	28	46	100	82	36	47	39	15
LOC110341506	0	3	0	4	3	0	1	5	4	3	0	0	1	0
LOC110341505	8	16	17	18	30	21	10	7	37	31	15	21	17	9
Kcnt2	35	64	69	91	72	55	39	69	150	115	63	72	70	33
LOC101831667	0	0	0	0	0	0	0	0	1	0	1	0	1	0
Cdc73	22	32	18	58	32	32	20	31	66	57	22	34	23	20
B3galt2	9	13	5	25	28	4	3	10	33	17	3	7	5	2
Glrx2	27	32	21	34	28	62	17	32	67	77	33	65	41	32
Trove2	13	36	17	48	32	32	14	30	64	84	29	44	36	17
Uchl5	13	16	21	24	24	34	12	23	42	47	19	53	53	31
LOC101844029	0	0	0	0	0	1	0	0	1	1	0	0	0	0
Rgs2	84	135	96	103	146	244	102	85	221	247	160	204	216	82
Rgs13	1	1	1	2	4	1	2	1	10	5	0	1	1	0
LOC110341510	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Rgs1	6	3	9	10	7	25	19	27	70	66	11	13	12	5
Rgs21	4	0	3	6	4	2	0	7	9	11	2	2	4	0
Brinp3	24	47	17	54	57	20	5	60	93	85	22	23	12	7
LOC101823196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101832193	8	5	1	14	6	3	0	15	24	12	1	6	5	2
LOC101832455	2	0	0	2	1	3	0	2	5	4	0	5	2	1
Pla2g4a	10	32	29	51	43	47	22	42	122	85	36	29	26	13
Ptgs2	0	0	0	0	1	1	0	1	0	0	0	0	1	0
Pdc	0	2	0	3	3	0	0	0	1	2	1	0	0	0
CUNH1orf27	16	26	18	35	22	21	14	24	44	42	19	25	24	15
LOC110341511	1	1	1	1	3	1	0	1	5	1	0	0	0	1
Tpr	86	106	143	122	106	206	110	98	160	194	206	248	212	130
Prg4	11	15	8	16	12	36	12	8	21	22	24	23	21	12
LOC101832718	28	43	22	68	68	40	17	41	107	105	48	53	41	23
LOC101833157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101843139	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lrfn5	15	16	13	38	47	11	9	43	82	62	13	10	11	2
LOC101843405	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101843682	2	4	1	7	6	3	0	10	11	10	2	2	0	0
Lsm3	3	3	4	2	6	14	7	5	19	25	8	16	11	9
Fscb	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101833846	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC101834102	0	1	0	0	0	5	1	1	1	0	0	1	0	0
CUNH14orf28	4	3	4	3	5	6	3	3	6	6	2	7	7	2
Klhl28	4	4	0	11	8	2	3	3	15	9	1	3	0	4
Togaram1	22	34	25	53	52	46	26	43	89	76	35	35	40	28
LOC106021421	0	2	2	2	2	4	0	2	3	4	1	0	1	3
Prpf39	22	25	26	34	30	37	18	24	49	43	49	70	59	36
Fkbp3	46	54	46	80	60	104	48	67	135	128	74	115	105	43
Fancm	7	12	7	37	21	7	7	17	37	33	4	8	6	4
Mis18bp1	5	23	12	44	16	13	6	17	58	45	9	9	10	3
LOC106021418	1	1	2	3	6	1	0	1	3	3	0	0	2	0
LOC110341514	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101822664	0	0	0	0	0	0	0	0	1	3	2	1	0	0
Garem2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hadha	49	70	61	74	73	118	73	75	133	139	96	116	100	54
Hadhb	15	30	21	25	30	59	24	27	51	47	45	62	37	19
Adgrf3	7	19	10	26	25	6	3	15	51	39	5	7	7	4
LOC110341524	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenoi	19	29	13	49	40	15	8	34	71	50	13	16	14	6
Drc1	1	6	2	2	6	0	0	6	20	12	8	6	1	0
Otof	4	4	4	17	14	3	1	13	20	18	5	4	2	2
LOC110341525	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CUNH2orf70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cib4	5	9	6	13	15	6	6	10	18	24	10	7	5	1
LOC110341526	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Kcnk3	13	17	9	20	20	19	13	22	34	37	25	43	32	11
Slc35f6	3	5	1	8	5	12	12	5	27	24	7	5	8	6
Cenpa	0	7	2	2	1	6	5	3	8	8	4	1	2	1
Dpysl5	7	17	8	30	38	18	4	25	63	52	9	15	12	12
Mapre3	10	17	9	30	18	21	7	21	42	32	30	37	34	15
Tmem214	6	9	13	8	9	21	12	11	27	17	10	29	27	6
Agbl5	9	14	3	33	28	8	5	15	50	41	4	9	12	5
Trnay-gua_8	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Trnaa-agc_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ost4	191	217	209	207	290	422	228	247	392	407	337	432	396	218
Emilin1	3	6	2	3	7	5	3	5	22	19	10	15	9	3
Khk	6	21	6	15	16	14	4	7	31	17	12	6	12	8
Cgref1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Abhd1	5	6	7	13	18	7	1	4	18	18	10	11	5	4
Preb	10	11	16	19	7	32	21	9	35	33	16	22	26	16
Prr30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcf23	0	0	0	0	2	0	0	1	0	0	0	0	0	0
LOC110341515	12	13	3	11	14	1	3	17	22	16	5	2	0	2
Slc5a6	1	4	1	4	3	4	0	2	8	14	2	7	12	5
Atraid	20	33	30	32	29	61	36	22	56	46	42	43	56	17
Cad	6	16	6	10	14	16	11	11	25	25	12	19	14	5
Slc30a3	2	1	0	0	0	0	0	1	0	1	0	2	0	1
Dnajc5g	0	1	0	0	1	0	0	0	0	4	0	0	0	0
Trim54	18	24	8	40	18	9	9	45	62	61	11	11	17	2
Ucn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpv17	33	56	37	44	49	67	30	40	81	80	66	75	66	28
Gtf3c2	20	13	15	19	31	39	24	17	35	39	17	31	34	15
Eif2b4	14	18	14	13	21	47	14	13	39	49	20	34	33	19
Snx17	31	47	40	36	52	109	48	46	115	107	68	104	74	39
Znf513	9	13	11	14	17	23	10	15	19	22	24	25	21	5
Ppm1g	27	35	30	55	61	74	33	42	143	126	43	77	48	26
LOC110341516	1	2	0	7	7	0	3	2	14	8	0	3	1	3
Nrbp1	39	60	42	64	55	109	40	46	102	121	79	122	95	54
Krtcap3	3	6	2	3	5	9	9	4	7	3	5	2	6	1
Ift172	8	16	8	15	7	10	6	12	21	27	12	9	11	7
Fndc4	6	19	9	6	15	12	8	10	7	14	15	29	13	7
Gckr	2	1	0	4	3	2	0	4	3	12	2	4	1	0
LOC110341528	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUNH2orf16	6	0	4	1	5	5	1	2	6	2	9	10	13	4
Znf512	13	13	18	20	22	29	15	19	40	42	23	33	33	12
LOC106021423	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpn1	9	13	16	13	18	30	18	10	42	41	26	41	30	13
Supt7l	5	7	6	11	9	11	7	9	32	25	9	17	14	6
Slc4a1ap	9	11	5	15	13	12	5	9	26	18	12	9	10	3
LOC110341529	6	20	9	20	13	11	9	19	34	34	20	16	19	7
LOC110341517	0	0	1	0	0	0	0	0	0	0	0	0	1	0
LOC110341530	4	7	3	15	11	4	4	8	19	9	2	5	4	1
Mrpl33	103	159	128	139	154	242	129	114	202	197	226	290	256	135
Rbks	23	47	21	82	64	36	20	55	109	85	30	51	34	19
Babam2	22	66	27	98	102	40	16	71	167	139	47	55	33	19
LOC110341518	0	0	0	0	0	0	0	1	1	0	0	0	1	0
Fosl2	7	24	6	23	17	12	9	9	46	31	8	10	5	6
Plb1	13	23	7	44	42	7	6	33	63	57	7	11	7	1
LOC110341531	2	7	1	15	12	2	2	6	15	23	2	6	3	1
Ppp1cb	121	191	158	183	199	384	174	143	297	275	272	376	278	151
Spdya	3	2	1	9	10	0	2	9	12	7	1	4	1	1
Trmt61b	5	4	2	8	1	3	3	7	19	9	7	4	10	0
Trnac-gca	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr43	12	26	16	25	32	42	18	17	47	55	33	40	35	18
LOC106021419	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Togaram2	4	11	6	27	26	11	4	8	35	28	9	8	11	6
CUNH2orf71	0	2	0	6	5	1	1	2	7	3	1	1	0	2
LOC110341519	2	14	1	7	6	2	2	4	12	9	2	4	4	1
Clip4	7	14	6	13	17	7	4	14	47	31	4	14	7	4
Alk	4	8	3	15	11	3	2	11	34	12	8	1	1	2
LOC110341513	9	13	5	37	23	6	3	23	44	29	7	6	5	2
LOC106021431	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ypel5	34	51	76	70	66	149	74	57	125	117	99	130	108	53
LOC110341532	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC110341521	1	0	0	0	0	0	0	1	0	0	0	2	0	1
LOC110341533	0	1	0	2	0	1	0	1	3	0	0	0	0	0
LOC106021425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341534	1	0	0	2	3	2	0	0	5	0	3	3	0	0
Lclat1	6	13	9	45	23	9	6	15	53	43	13	20	14	7
Capn13	2	6	1	7	10	3	1	11	29	14	5	3	5	1
LOC110341522	0	2	2	5	4	1	0	2	11	5	2	2	1	0
Galnt14	11	15	7	21	24	2	7	27	54	54	2	12	7	2
LOC110341535	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341536	1	0	0	1	0	0	0	0	0	0	1	0	0	0
Ehd3	34	45	42	62	72	111	33	37	94	111	95	151	80	54
Xdh	72	97	105	117	125	500	267	257	613	531	169	249	177	112
LOC110341537	2	0	0	1	0	2	5	0	4	1	1	1	0	0
Srd5a2	4	3	1	11	16	0	1	7	18	15	2	5	2	0
Memo1	23	45	25	77	60	44	27	42	111	86	37	50	30	19
LOC110341538	3	2	1	9	6	1	1	2	7	8	0	0	2	1
Dpy30	29	31	32	31	42	76	37	36	72	85	48	66	69	31
Spast	11	24	16	28	36	35	17	27	55	56	25	39	28	22
Slc30a6	7	14	10	20	18	11	9	13	32	28	6	16	14	7
Nlrc4	12	13	4	21	25	7	4	19	25	30	5	5	3	3
Yipf4	19	42	26	43	41	69	31	37	93	87	44	56	57	28
Birc6	38	79	50	138	88	77	54	79	189	187	88	114	120	51
Ttc27	11	21	9	56	31	21	8	48	66	65	15	30	9	9
LOC101833158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106021426	0	2	1	2	4	3	0	0	3	4	2	4	1	3
Ltbp1	29	78	34	96	93	55	24	81	180	141	28	66	35	15
LOC110341539	0	0	0	0	0	1	0	0	3	2	0	0	0	0
Rasgrp3	58	89	62	100	103	83	41	90	187	149	91	179	150	72
Fam98a	16	19	18	18	23	58	19	27	56	60	25	34	31	8
LOC101834723	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC106021420	3	11	2	23	16	3	4	8	14	12	6	3	2	2
Crim1	18	39	28	42	60	68	36	30	69	93	48	60	45	29
Fez2	35	42	44	43	45	82	35	47	91	83	52	86	74	39
Vit	10	15	4	43	31	16	4	20	53	52	11	18	17	8
LOC110341540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strn	9	16	11	26	32	28	12	26	40	41	25	30	28	13
LOC101835243	0	0	0	1	0	0	0	1	2	1	0	1	0	0
Heatr5b	24	25	23	56	35	26	11	27	85	52	22	32	37	15
LOC106021428	2	4	1	0	3	3	0	0	2	0	1	0	1	1
Gpatch11	13	27	14	37	19	29	13	25	49	47	28	41	22	9
Eif2ak2	13	19	14	34	19	46	32	44	91	75	12	14	19	4
Sult6b1	7	7	4	11	13	6	4	17	19	18	5	4	2	3
LOC101836713	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106021430	0	1	3	0	0	1	0	2	3	2	3	1	2	1
Cebpzos	38	64	57	38	59	78	55	56	103	110	68	93	79	29
Cebpz	23	33	24	38	20	67	40	34	47	68	32	69	61	44
Ndufaf7	12	19	6	24	24	20	7	14	25	29	9	12	16	3
Prkd3	24	40	28	48	51	56	23	36	74	76	48	83	70	35
LOC106021424	1	5	3	6	4	7	3	3	10	5	6	11	4	6
Qpct	3	7	5	5	10	9	2	8	10	20	4	9	7	1
Cdc42ep3	14	19	21	36	33	45	20	18	60	52	37	41	39	17
Rmdn2	3	8	14	6	10	13	4	5	11	13	10	9	19	11
LOC101839568	0	2	0	0	0	2	1	0	1	1	0	0	0	0
LOC101829528	1	1	1	1	1	0	0	1	5	3	0	0	0	0
Atl2	8	16	10	18	20	36	13	18	46	44	26	33	34	13
LOC110341541	0	1	1	2	0	1	0	0	2	0	1	1	0	0
LOC110341542	9	9	1	12	13	1	2	10	32	25	7	5	6	2
LOC106021427	0	0	0	1	0	1	0	0	0	2	0	1	0	0
Hnrnpll	25	37	33	34	36	60	37	38	100	85	38	61	47	23
LOC110341543	3	0	2	9	3	1	0	4	11	9	0	2	0	0
Galm	21	44	29	33	27	47	25	34	45	47	41	67	53	21
Srsf7	33	53	46	57	69	118	48	53	101	118	60	97	76	37
LOC101842351	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Dhx57	20	50	10	88	71	16	11	47	100	78	16	18	18	4
Morn2	1	3	2	5	7	1	3	5	9	3	3	2	1	2
Arhgef33	6	25	7	60	40	13	2	34	68	57	8	6	6	3
Sos1	9	12	16	28	18	21	8	12	41	47	20	28	25	14
Syncrip	47	92	76	105	93	133	70	81	159	151	120	188	177	88
Snx14	14	16	9	28	26	18	12	16	65	44	8	22	14	8
LOC101831311	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nt5e	15	33	8	45	31	18	13	34	75	54	16	17	11	9
Tbx18	1	0	0	1	0	2	0	1	0	1	1	1	0	0
Cep162	4	15	7	23	18	15	3	13	24	31	10	5	4	4
Mrap2	3	3	3	17	18	4	2	11	23	26	0	6	6	0
LOC110341547	0	5	2	6	6	0	0	2	14	4	0	2	1	0
LOC110341556	1	1	0	1	0	0	0	0	0	0	0	0	1	0
LOC101833334	37	68	53	91	74	130	60	66	178	138	73	107	87	51
Ripply2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snap91	8	23	4	42	46	13	5	23	66	55	14	21	7	7
Prss35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Me1	0	11	5	14	19	5	1	15	33	22	3	2	6	4
LOC101835244	7	8	5	15	16	10	1	12	23	19	8	10	9	7
LOC106021438	14	15	26	23	24	42	17	21	21	30	26	26	28	12
Rwdd2a	1	1	1	2	2	5	3	0	1	1	4	3	4	2
Pgm3	7	17	9	21	17	29	23	8	27	27	21	30	28	14
Dopey1	21	32	20	66	43	31	12	53	109	67	19	37	25	22
Ube3d	16	35	11	48	53	16	9	45	82	72	18	18	11	9
LOC101832633	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Tpbg	4	3	1	2	0	1	2	0	3	4	2	3	4	1
Ibtk	10	19	15	28	18	35	16	12	54	46	30	17	15	13
Fam46a	19	27	14	27	24	49	19	29	36	51	24	32	16	12
Bckdhb	15	27	15	50	40	45	14	37	82	58	18	39	28	12
Ttk	11	12	6	22	22	6	3	13	31	17	4	4	6	2
LOC101838134	1	0	0	1	2	1	3	1	4	5	1	5	1	0
Elovl4	2	3	1	9	5	4	0	5	14	6	2	2	3	2
Sh3bgrl2	6	26	9	33	25	31	13	23	49	36	19	28	10	11
LOC106021436	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Lca5	4	7	4	11	6	9	3	5	8	13	1	4	0	0
Hmgn3	19	39	26	40	37	31	25	35	63	48	52	44	50	21
Phip	37	63	81	80	77	123	63	65	95	125	110	135	145	66
Irak1bp1	6	9	8	12	16	30	7	14	27	25	13	26	17	6
Mei4	5	28	5	41	33	6	3	29	70	49	5	12	9	3
LOC110341557	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Htr1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101840547	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC101840811	2	1	1	2	3	1	1	1	4	5	1	4	0	0
LOC110341552	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Impg1	8	30	11	43	33	6	2	28	57	55	9	14	10	3
LOC110341548	3	6	5	10	12	2	2	11	34	27	4	2	7	4
Myo6	43	49	76	65	63	78	47	42	52	90	119	150	120	61
Senp6	23	46	26	76	48	53	36	51	94	100	40	68	63	20
Filip1	10	41	18	61	44	33	12	45	99	65	33	28	22	11
Tmem30a	12	35	27	37	40	67	37	38	66	71	40	60	41	27
LOC110341558	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC101841805	140	154	149	161	191	350	173	169	349	323	261	343	305	158
LOC110341559	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Col12a1	14	19	19	27	21	15	7	15	42	34	25	28	34	12
LOC101835245	0	0	1	2	2	0	0	2	5	2	0	1	0	0
LOC101835505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341560	3	3	1	4	6	1	0	6	6	8	1	1	1	3
LOC101835766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341561	12	17	10	34	28	4	1	23	43	38	2	10	5	6
LOC101836027	0	0	0	0	0	0	0	0	0	1	0	0	0	1
LOC101842352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd109	18	27	29	58	36	20	12	25	55	57	40	29	40	14
Slc17a5	4	17	10	27	17	6	2	17	39	39	10	11	13	5
Eef1a1	2008	2472	2434	2651	2997	4084	2648	2448	3909	4103	3306	4379	3854	2367
Mto1	5	15	5	21	17	14	9	15	41	28	9	9	4	5
LOC106021433	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mb21d1	0	0	0	0	0	3	1	1	2	4	0	1	1	0
Ddx43	5	9	3	26	23	5	4	14	39	29	5	4	4	1
Ooep	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Dppa5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341562	1	1	1	1	2	1	1	2	1	1	1	0	1	1
LOC110341553	17	14	18	18	17	30	16	15	14	19	17	19	27	13
LOC106021440	21	26	16	50	27	48	29	48	50	46	21	26	29	15
LOC110341563	2	1	6	4	2	9	5	5	3	8	4	3	6	4
LOC101843868	169	208	185	180	216	336	171	138	247	293	284	359	274	150
LOC106021437	1	3	0	1	0	1	3	0	1	2	1	2	0	0
Ick	18	25	23	34	48	18	8	35	58	46	32	26	25	7
Fbxo9	19	33	21	28	30	60	24	25	39	65	36	45	37	20
Gcm1	0	1	0	5	6	0	0	1	7	2	2	3	0	0
Elovl5	26	71	38	68	76	61	34	46	109	127	48	50	60	26
Gclc	11	13	15	18	24	29	16	15	32	34	26	32	20	7
Klhl31	0	2	0	5	3	1	0	1	4	2	0	2	0	0
Lrrc1	15	31	9	49	36	26	19	38	88	81	26	29	32	11
Mlip	14	20	8	50	45	11	2	39	93	64	15	13	13	4
Tinag	8	0	3	15	8	2	2	6	27	11	3	6	6	3
LOC110341554	1	4	3	10	2	2	0	6	9	7	2	3	1	0
LOC110341555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam83b	2	17	5	24	26	5	3	21	56	41	10	4	7	4
LOC110341564	3	4	0	3	1	1	1	5	9	6	0	2	1	1
Hcrtr2	15	21	14	51	41	12	10	32	55	48	15	14	9	4
Gfral	2	5	5	11	7	4	2	7	16	9	2	1	3	1
Hmgcll1	10	21	14	26	23	11	8	28	42	43	14	16	16	6
Bmp5	1	4	0	10	6	8	1	8	14	13	6	11	12	1
LOC106021432	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scg3	16	29	28	47	50	21	17	42	65	53	32	30	23	18
Lysmd2	13	13	6	22	15	18	12	13	41	30	9	24	12	8
Tmod2	9	25	5	30	29	14	5	25	61	44	22	12	13	14
Tmod3	39	66	38	99	91	59	31	96	174	132	57	81	49	29
LOC110341565	1	0	0	1	3	0	0	1	2	1	0	0	1	0
LOC110341550	0	0	0	0	1	0	0	0	2	0	0	0	0	0
Leo1	21	30	27	34	41	52	20	28	49	45	27	45	36	15
Mapk6	19	13	15	30	28	38	16	26	49	63	21	57	37	19
Bcl2l10	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Gnb5	7	10	9	17	16	6	6	18	20	26	16	15	17	10
LOC110341566	4	6	4	9	14	0	0	10	23	17	2	1	2	2
Myo5c	7	6	6	19	20	3	1	28	46	29	8	9	6	8
Myo5a	16	35	15	67	51	32	15	55	115	101	23	42	25	12
LOC110341551	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Arpp19	53	52	88	91	81	167	108	76	215	181	126	153	136	100
Fam214a	7	24	11	37	33	16	10	29	68	38	16	35	20	10
Onecut1	10	15	5	23	29	3	5	25	44	49	14	8	2	2
LOC110341567	5	17	4	29	22	1	7	34	61	48	6	8	10	8
LOC106021435	2	5	0	9	9	3	0	7	26	14	0	2	3	1
Wdr72	2	13	4	20	20	1	1	10	33	13	6	5	4	0
Unc13c	25	53	10	98	51	24	11	71	146	100	18	28	17	9
LOC110341568	1	14	3	15	11	2	1	9	20	14	4	4	1	1
LOC101840010	41	64	68	84	76	136	61	60	156	142	103	170	122	52
LOC101840273	1	0	0	0	1	1	0	0	0	0	0	0	0	0
LOC110341549	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Rsl24d1	14	18	14	24	16	28	21	16	24	33	39	51	70	27
LOC110341569	2	1	6	5	5	7	2	2	6	7	9	20	12	3
Khdc3l	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab27a	14	24	13	35	39	23	8	52	89	74	21	23	27	5
Pigbos1	8	19	10	19	13	16	14	6	19	10	12	21	18	6
Pigb	1	4	2	12	12	2	3	6	16	17	0	2	4	2
Ccpg1	37	57	49	58	63	80	36	47	103	94	104	96	100	55
CUNH15orf65	4	6	4	11	14	9	4	18	17	16	14	12	3	6
Dnaaf4	1	3	4	10	7	9	1	9	14	15	15	6	7	3
